Average X Angle,Average Y Angle,Average Z Angle,Average X Omega,Average Y Omega,Average Z Omega,Average X Accel,Average Y Accel,Average Z Accel,Average X velo,Average Y velo,Average Z velo,GoodShot?
17.1796,-132.7156,16.7202,-215.4688,-45.5812,-194.0875,-11.0722,0.3735,16.4826,-11.7062,5.1316,4.6219,0
-10.3599,-134.7239,40.0766,-115.0313,-82.3999,-146.5625,-11.2736,5.5834,12.6121,-11.161,9.2112,-1.3118,0
-104.3994,-132.2328,-13.311,-18.3439,65.3813,16.2065,-0.9291,-6.3243,1.3592,-12.0183,7.3246,1.3736,0
-53.3131,-96.7308,-17.0592,-14.8,78.1251,-7.2688,-3.5689,-5.527,-0.0143,-10.8254,8.7845,3.3104,0
-93.8477,-116.1257,-12.9732,15.4876,-17.244,40.1561,-5.6944,-7.6288,1.7834,-10.1534,7.735,2.7057,0
54.145,29.0442,-14.136,3.2625,23.8751,-17.6124,-0.9588,-8.2865,-3.1922,1.5428,-6.5749,-7.2408,1
52.3955,15.3368,-10.4898,1.7749,9.1625,-14.7875,-1.2,-7.6614,-3.7241,0.8391,-6.568,-8.0528,1
59.2406,21.7638,0.2222,-5.3438,15.7061,0.2186,-0.7991,-8.5126,-5.0057,2.2138,-6.773,-7.6329,1
55.6669,22.1068,-1.1508,-2.5938,15.9313,-0.1377,-0.3472,-8.538,-4.3405,2.056,-5.6804,-8.7448,1
61.1582,23.4286,2.6828,-7.3376,3.5062,1.9313,0.0675,-7.6739,-4.2487,2.4417,-7.1362,-8.0399,1
61.268,14.749,-12.0737,-10.1876,-59.1686,-14.9374,0.1673,-5.9279,-2.4449,1.6309,-7.2179,-7.767,1
55.6116,16.4582,-1.5091,-16.275,6.9689,-31.4375,0.0402,-5.0651,-3.8561,2.4552,-7.5865,-6.8342,1
60.4253,20.078,-8.8159,0.0689,-26.1564,-30.3188,1.1133,-6.6362,-3.3444,1.0269,-5.7776,-9.249,1
60.561,17.1548,-4.5136,-7.2189,-10.2,-29.1124,0.1864,-6.7622,-3.5322,1.9259,-7.4037,-8.4711,1
55.4393,17.1698,5.252,-9.475,-8.9812,-11.4061,0.2641,-6.5025,-4.8178,2.4866,-6.3325,-8.0059,1
54.5425,18.9246,-3.9128,-4.4312,-15.7624,-16.8687,-0.011,-7.277,-4.4959,2.2641,-6.8113,-8.0935,1
60.0537,21.8589,-0.9301,-1.3062,-10.3062,-22.5189,-0.3401,-6.3658,-3.6089,1.6389,-6.7043,-8.028,1
39.869,-38.8824,-62.6207,-105.4186,-22.7125,402.9311,-7.7351,7.8368,-2.2582,4.5733,-2.0741,-8.5655,0
65.102,-41.5605,-1.379,-2.2126,-5.9563,170.7125,-13.7468,-3.4184,-5.2022,4.448,-2.0945,-9.2705,0
67.0031,-45.5814,10.5279,11.6439,6.7312,184.5753,-14.322,-3.8757,-4.8341,6.4108,-2.392,-9.6085,0
53.0965,-56.2396,-12.4434,-13.8938,40.4188,19.2562,-9.4813,-5.265,-4.4342,2.3757,-3.05,-10.1102,0
73.5489,-42.2537,7.6554,-2.1252,-12.0249,0.8501,-8.3725,-4.572,-4.5978,2.466,-2.8605,-10.1311,0
-17.5845,-107.8679,124.4255,13.5062,13.6813,-10.9498,-6.6174,4.7235,-9.0178,-9.8792,0.3625,-11.3916,0
-9.2448,-103.6105,134.7767,-53.0751,-179.7814,-174.4188,-1.5992,3.1391,-15.1741,-8.9181,-0.2436,-11.9868,0
-5.9827,-155.2112,130.0262,-57.2124,-38.8501,-8.775,-8.9024,2.3119,-10.4897,-10.2641,1.1268,-11.3264,0
-12.3885,-93.9146,138.2764,27.5314,-64.5688,-22.9124,-7.8767,4.1219,-13.9908,-8.2498,0.7318,-13.1251,0
-24.7481,-122.7308,132.0783,20.5625,-153.5312,-104.0627,-9.328,5.4619,-14.5203,-10.2965,1.5356,-11.2963,0
-6.881,17.9753,-20.3923,4.3063,-62.8438,-26.225,-0.1171,-2.2648,-8.9202,1.7661,-1.4185,-18.0009,0
-29.9185,17.5603,3.1598,29.2124,-4.3939,-28.3813,3.3377,0.2338,-9.4615,4.813,-2.4635,-17.6499,0
-14.8517,27.965,-4.1536,29.4564,-21.725,-32.4125,3.0157,0.0679,-9.0655,3.816,-2.0711,-18.1616,0
-28.0793,36.5356,20.986,11.925,-5.6062,-11.6315,2.5814,0.0712,-9.3233,2.3167,-2.8649,-18.2308,0
-15.9259,32.5392,10.9784,42.7313,-30.575,-52.2249,2.8613,-0.1956,-8.7186,4.5412,-1.7525,-18.2351,0
-55.251,79.3909,-53.611,11.775,3.0126,-39.1751,3.8345,-5.4719,-4.7438,7.1705,0.6374,-10.5934,0
-69.2416,64.7591,-39.9345,21.9438,-64.681,-65.731,0.5276,-3.3569,-4.1985,4.9593,-0.3229,-10.5915,0
-35.0341,80.0532,-16.1861,4.4687,-15.7876,-30.7249,1.2581,-5.5615,-4.9126,6.2868,-0.8219,-11.064,0
-20.3704,60.1993,-29.5755,62.4186,-46.3437,-75.2939,0.9196,-2.9727,-3.2863,3.8635,-1.9891,-12.3875,0
-19.5785,45.7321,-5.4221,4.8312,26.7749,-44.7001,0.1421,-4.6121,-6.2186,3.7475,-2.0833,-13.2448,0
